paid_enroll,prv_wk_nbr,prv_wk_min,message,binge,complete
1,2,193,0,1,1
0,5,194,0,1,1
1,1,45,0,0,1
1,4,118,0,0,1
0,5,247,0,1,1
1,2,211,0,1,1
1,2,32,0,0,0
1,5,244,0,1,1
0,3,130,0,1,1
1,2,121,0,1,1
0,2,212,0,1,1
1,4,353,0,1,1
1,3,94,0,1,0
1,4,205,0,1,1
0,3,442,0,1,1
0,2,17,0,0,0
1,5,401,0,1,1
1,4,362,0,1,1
1,4,297,0,1,1
1,5,348,0,1,1
0,2,230,0,1,1
1,3,294,0,1,1
1,3,306,0,1,1
1,5,450,0,1,1
1,5,95,0,0,0
1,4,425,0,1,1
0,3,373,0,1,1
0,2,346,0,1,1
0,4,210,0,1,1
1,5,455,0,1,1
0,4,114,0,1,1
0,7,287,0,1,1
1,4,304,0,1,1
1,7,262,0,1,1
1,4,61,0,0,0
1,7,147,0,1,1
0,4,248,0,1,1
1,2,91,0,1,1
1,4,245,0,1,1
0,2,222,0,1,1
1,3,415,0,1,1
1,5,178,0,1,1
0,5,370,0,1,1
1,2,422,0,1,1
1,3,311,0,1,1
1,3,347,0,1,1
1,1,78,0,0,0
1,3,199,0,1,1
1,5,260,0,1,1
1,4,121,0,1,1
0,2,118,0,1,1
1,3,301,0,1,1
1,3,124,0,1,1
1,4,175,0,0,1
1,4,255,0,1,1
0,4,254,0,1,1
1,5,77,0,1,0
1,3,435,0,1,1
1,4,230,0,1,1
1,3,291,0,1,1
1,3,62,0,0,1
0,3,47,0,0,0
0,1,475,0,1,1
1,4,195,0,1,1
0,2,452,0,1,1
1,3,341,0,1,1
1,5,106,0,1,1
0,3,144,0,1,1
1,3,293,0,1,1
1,4,86,0,1,0
1,3,149,0,1,1
0,4,350,0,1,1
1,3,24,0,0,0
0,4,261,0,1,1
0,2,285,0,1,1
0,3,27,0,0,0
1,3,252,0,1,1
0,4,227,0,1,1
1,2,77,0,1,1
1,7,230,0,1,1
0,4,201,0,1,1
0,3,24,0,0,0
1,3,316,0,1,1
1,5,127,0,1,1
0,3,253,0,1,1
0,4,77,0,1,1
1,2,26,0,1,0
0,1,268,0,1,1
1,2,332,0,1,1
1,3,159,0,1,1
1,3,349,0,1,1
1,5,136,0,1,0
1,5,379,0,1,1
0,2,173,0,1,1
0,5,245,0,1,1
1,5,93,0,0,1
1,2,362,0,1,1
1,5,194,0,1,1
0,3,206,0,1,0
0,5,175,0,1,1
1,4,230,0,1,1
1,3,430,0,1,1
0,5,396,0,1,1
0,5,174,0,1,1
1,3,286,0,1,1
1,2,404,0,1,1
1,1,16,0,0,1
1,7,333,0,1,1
0,4,454,0,1,1
1,1,476,0,1,1
1,4,410,0,1,1
0,4,188,0,1,1
0,4,137,0,1,1
1,5,264,0,1,1
1,3,317,0,1,1
1,5,453,0,1,1
1,2,263,0,1,1
0,3,257,0,1,1
0,3,476,0,1,1
1,4,274,0,1,1
1,1,345,0,1,1
1,4,359,0,1,1
1,2,312,0,1,1
0,5,429,0,1,1
1,3,59,0,1,1
0,4,292,0,1,1
0,2,177,0,1,1
1,5,224,0,1,1
1,5,81,0,1,1
1,5,52,0,0,0
0,3,361,0,1,1
1,3,234,0,1,1
0,4,339,0,1,1
0,3,139,0,0,1
0,3,463,0,1,1
0,4,334,0,1,1
